Provider Number,Hospital Name,State,ZIP Code,County Name,heart attack,heart failure,Pneumonia
150160,INDIANA ORTHOPAEDIC HOSPITAL LLC,IN,46278,MARION,Not Available,Not Available,Not Available
150161,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,IN,46032,HAMILTON,15.4,11.2,10.4
150162,FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,IN,46237,MARION,14.5,12.2,9.8
150163,SAINT CATHERINE REGIONAL HOSPITAL,IN,47111,CLARK,Not Available,13.5,12
150164,MONROE HOSPITAL,IN,47403,MONROE,Not Available,10.5,11.1
150165,FRANCISCAN PHYSICIANS HOSPITAL LLC,IN,46321,LAKE,Not Available,12.8,10.7
150166,PINNACLE HOSPITAL,IN,46307,LAKE,Not Available,11.4,10.8
150167,ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,IN,46845,ALLEN,Not Available,Not Available,Not Available
150168,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,IN,46804,ALLEN,Not Available,Not Available,Not Available
150169,COMMUNITY HOSPITAL NORTH,IN,46256,MARION,17.8,14.6,10.9
150172,PHYSICIANS' MEDICAL CENTER LLC,IN,47150,FLOYD,Not Available,Not Available,Not Available
150173,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,IN,47905,TIPPECANOE,16.7,12.5,10.5
150175,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,IN,47630,WARRICK,15.2,12.9,Not Available
150176,KENTUCKIANA MEDICAL CENTER LLC,IN,47129,CLARK,Not Available,9.8,10.7
150177,UNITY MEDICAL AND SURGICAL HOSPITAL,IN,46545,ST JOSEPH,Not Available,Not Available,Not Available
150178,CANCER CARE PARTNERS LLC,IN,46545,ST JOSEPH,Not Available,Not Available,Not Available
151300,COMMUNITY HOSPITAL OF BREMEN INC,IN,46506,MARSHALL,Not Available,11.8,11.3
151301,ST VINCENT RANDOLPH HOSPITAL INC,IN,47394,RANDOLPH,Not Available,11.3,10.2
151302,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,IN,47348,BLACKFORD,Not Available,11.3,11.9
151303,ST VINCENT JENNINGS HOSPITAL INC,IN,47265,JENNINGS,Not Available,12.2,11.1
151304,RUSH MEMORIAL HOSPITAL,IN,46173,RUSH,Not Available,11.6,14.9
151305,PULASKI MEMORIAL HOSPITAL,IN,46996,PULASKI,Not Available,14.4,11.8
151306,INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,IN,47454,ORANGE,Not Available,11.8,13
151307,ST VINCENT WILLIAMSPORT HOSPITAL INC,IN,47993,WARREN,Not Available,11.2,9.9
151308,ST VINCENT MERCY HOSPITAL,IN,46036,MADISON,Not Available,13.6,12.5
151309,ST VINCENT CLAY HOSPITAL INC,IN,47834,CLAY,Not Available,11.8,13.5
151310,WABASH COUNTY HOSPITAL,IN,46992,WABASH,Not Available,13.4,12.9
151311,INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,IN,46072,TIPTON,Not Available,11.7,13.4
151312,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,IN,47960,WHITE,Not Available,10.4,10.8
151315,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,IN,46703,STEUBEN,Not Available,13.3,12.4
151316,ST VINCENT FRANKFORT HOSPITAL INC,IN,46041,CLINTON,Not Available,15,13.3
151317,GREENE COUNTY GENERAL HOSPITAL,IN,47441,GREENE,Not Available,11.5,12
151318,DUKES MEMORIAL HOSPITAL,IN,46970,MIAMI,17,10.9,13.9
151319,GIBSON GENERAL HOSPITAL,IN,47670,GIBSON,Not Available,12.5,13.7
151320,JAY COUNTY HOSPITAL,IN,47371,JAY,Not Available,11.2,10
151322,PERRY COUNTY MEMORIAL HOSPITAL,IN,47586,PERRY,Not Available,12.7,12.4
151323,PARKVIEW LAGRANGE HOSPITAL,IN,46761,LAGRANGE,Not Available,13.3,11.1
151324,JASPER COUNTY HOSPITAL,IN,47978,JASPER,Not Available,13.1,13.7
151325,ST MARY'S WARRICK HOSPITAL INC,IN,47601,WARRICK,Not Available,12,15.6
151326,UNION HOSPITAL CLINTON,IN,47842,VERMILLION,Not Available,12.4,12
151327,SULLIVAN COUNTY COMMUNITY HOSPITAL,IN,47882,SULLIVAN,Not Available,12.7,13.8
151328,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,IN,47421,LAWRENCE,14,11.8,13.6
151329,MARGARET MARY COMMUNITY HOSPITAL INC,IN,47006,RIPLEY,Not Available,10,15.4
151330,ADAMS MEMORIAL HOSPITAL,IN,46733,ADAMS,15.1,12.6,13
151331,HARRISON COUNTY HOSPITAL,IN,47112,HARRISON,16.6,11.7,14.5
151332,DECATUR COUNTY MEMORIAL HOSPITAL,IN,47240,DECATUR,Not Available,12.7,11.8
151333,PUTNAM COUNTY HOSPITAL,IN,46135,PUTNAM,Not Available,12.7,13.7
151334,SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL,IN,47170,SCOTT,Not Available,12.2,10.5
151335,ST VINCENT DUNN HOSPITAL INC,IN,47421,LAWRENCE,14.2,13.5,15.1
160001,MARSHALLTOWN MEDICAL & SURGICAL CENTER,IA,50158,MARSHALL,15,12.2,14.3
160005,ST ANTHONY REGIONAL HOSPITAL,IA,51401,CARROLL,Not Available,12.1,14
160008,KEOKUK AREA HOSPITAL,IA,52632,LEE,16.2,12.6,15.1
160013,TRINITY MUSCATINE,IA,52761,MUSCATINE,16.4,13.1,12.2
160016,TRINITY REGIONAL MEDICAL CENTER,IA,50501,WEBSTER,14.2,11.3,10.6
160024,IOWA LUTHERAN HOSPITAL,IA,50316,POLK,15.5,10,11.9
160028,ALEGENT HEALTH MERCY HOSPITAL,IA,51503,POTTAWATTAMIE,16,12.7,12.4
160029,MERCY HOSPITAL,IA,52245,JOHNSON,14.2,12.5,9.1
160030,MARY GREELEY MEDICAL CENTER,IA,50010,STORY,12.5,11.3,8.2
160032,SKIFF MEDICAL CENTER,IA,50208,JASPER,Not Available,14.5,13.8
160033,GENESIS MEDICAL CENTER-DAVENPORT,IA,52803,SCOTT,15,10.1,9.8
16003F,VA CENTRAL IOWA HEALTHCARE SYSTEM,IA,50310,POLK,Not Available,11.4,12.2
160040,SARTORI MEMORIAL HOSPITAL,IA,50613,BLACK HAWK,Not Available,10.5,11
160045,ST LUKES HOSPITAL,IA,52402,LINN,12.7,10.8,8.3
160047,JENNIE EDMUNDSON HOSPITAL,IA,51503,POTTAWATTAMIE,12.7,10.7,14
16004F,IOWA CITY VA MEDICAL CENTER,IA,52246,JOHNSON,14.5,12.9,11.9
160057,GREAT RIVER MEDICAL CENTER,IA,52655,DES MOINES,14.4,10.3,12.3
160058,UNIVERSITY OF IOWA HOSPITAL & CLINICS,IA,52242,JOHNSON,14.9,12.6,12.4
160064,MERCY MEDICAL CENTER-NORTH IOWA,IA,50401,CERRO GORDO,13.5,12.9,11.9
160067,COVENANT MEDICAL CENTER,IA,50702,BLACK HAWK,15.7,13.4,11.7
160069,MERCY MEDICAL CENTER-DUBUQUE,IA,52001,DUBUQUE,16.2,12.9,10.6
160079,MERCY MEDICAL CENTER - CEDAR RAPIDS,IA,52403,LINN,15.9,9.1,10.8
160080,MERCY MEDICAL CENTER-CLINTON,IA,52732,CLINTON,14.9,12.3,11.2
160082,IOWA METHODIST MEDICAL CENTER,IA,50309,POLK,16.3,13.3,13
160083,MERCY MEDICAL CENTER-DES MOINES,IA,50314,POLK,15,12.2,10.6
160089,OTTUMWA REGIONAL HEALTH CENTER,IA,52501,WAPELLO,16.6,11,10.9
160101,BROADLAWNS MEDICAL CENTER,IA,50314,POLK,Not Available,Not Available,Not Available
160104,TRINITY BETTENDORF,IA,52722,SCOTT,14.8,12.2,13.1
160110,ALLEN MEMORIAL HOSPITAL,IA,50703,BLACK HAWK,16.7,11.7,12.7
160112,SPENCER MUNICIPAL HOSPITAL,IA,51301,CLAY,16.1,13.3,16
160117,THE FINLEY HOSPITAL,IA,52001,DUBUQUE,14.8,11.8,10.1
160122,FORT MADISON COMMUNITY HOSPITAL,IA,52627,LEE,16.2,11.8,12.7
160124,LAKES REGIONAL HEALTHCARE,IA,51360,DICKINSON,Not Available,11.7,12.6
160146,ST LUKES REGIONAL MEDICAL CENTER,IA,51104,WOODBURY,16,11.4,12.4
160147,GRINNELL REGIONAL MEDICAL CENTER,IA,50112,POWESHIEK,15.5,13.7,12.3
160153,MERCY MEDICAL CENTER-SIOUX CITY,IA,51101,WOODBURY,14.3,12.8,13.1
161300,BAUM HARMON MERCY HOSPITAL,IA,51245,OBRIEN,Not Available,Not Available,12.5
161301,BELMOND MEDICAL CENTER,IA,50421,WRIGHT,Not Available,Not Available,10.7
161302,WRIGHT MEDICAL CENTER,IA,50525,WRIGHT,Not Available,Not Available,13.3
161303,GRUNDY COUNTY MEMORIAL HOSPITAL,IA,50638,GRUNDY,Not Available,Not Available,13.2
161304,ALEGENT HEALTH MERCY HOSPITAL,IA,50841,ADAMS,Not Available,12.3,10.4
161306,JONES REGIONAL MEDICAL CENTER,IA,52205,JONES,Not Available,11.1,10.6
161307,HANCOCK COUNTY MEMORIAL HOSPITAL,IA,50423,HANCOCK,Not Available,11.2,12.9
161308,FRANKLIN GENERAL HOSPITAL,IA,50441,FRANKLIN,Not Available,Not Available,16.9
161309,ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL,IA,51555,HARRISON,Not Available,11.3,11.3
161310,ADAIR COUNTY MEMORIAL HOSPITAL,IA,50849,ADAIR,Not Available,Not Available,12.2
161311,HAWARDEN COMMUNITY HOSPITAL,IA,51023,SIOUX,Not Available,Not Available,11.7
161312,GUTTENBERG MUNICIPAL HOSPITAL,IA,52052,CLAYTON,Not Available,12.4,11.3
161313,GENESIS MEDICAL CENTER-DEWITT,IA,52742,CLINTON,Not Available,11.8,11.4
161316,PALMER LUTHERAN HEALTH CENTER,IA,52175,FAYETTE,Not Available,12.3,13.8
161317,MARENGO MEMORIAL HOSPITAL,IA,52301,IOWA,Not Available,Not Available,11.6
161318,VETERANS MEMORIAL HOSPITAL,IA,52172,ALLAMAKEE,Not Available,15.9,13.3
161319,CENTRAL COMMUNITY HOSPITAL,IA,52043,CLAYTON,Not Available,Not Available,Not Available
161320,COMMUNITY MEMORIAL HOSPITAL,IA,50674,BREMER,Not Available,Not Available,14.7
161321,SANFORD HOSPITAL ROCK RAPIDS,IA,51246,LYON,Not Available,Not Available,14.8
161322,DALLAS COUNTY HOSPITAL,IA,50220,DALLAS,Not Available,Not Available,13.7
161325,GREENE COUNTY MEDICAL CENTER,IA,50129,GREENE,Not Available,13.2,12.9
161326,MADISON COUNTY MEMORIAL HOSPITAL,IA,50273,MADISON,Not Available,14.4,13
161327,DAVIS COUNTY HOSPITAL,IA,52537,DAVIS,Not Available,9.9,13.8
161328,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,IA,52136,HOWARD,Not Available,12.2,16.8
161329,JACKSON COUNTY REGIONAL HEALTH CENTER,IA,52060,JACKSON,Not Available,Not Available,12.5
161330,AUDUBON COUNTY MEMORIAL HOSPITAL,IA,50025,AUDUBON,Not Available,10.8,12.7
161331,MERCY MEDICAL CENTER-NEW HAMPTON,IA,50659,CHICKASAW,Not Available,13.1,13.4
161332,MANNING REGIONAL HEALTHCARE CENTER,IA,51455,CARROLL,Not Available,Not Available,11.2
161333,STORY COUNTY HOSPITAL,IA,50201,STORY,Not Available,Not Available,10.4
161335,BUCHANAN COUNTY HEALTH CENTER,IA,50644,BUCHANAN,Not Available,12.8,13.1
161336,HEGG MEMORIAL HEALTH CENTER,IA,51247,SIOUX,Not Available,Not Available,11.2
161337,VAN BUREN COUNTY HOSPITAL,IA,52565,VAN BUREN,Not Available,13.7,13.4
161338,MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN,IA,50662,FAYETTE,Not Available,11.1,11.6
161339,WAVERLY HEALTH CENTER,IA,50677,BREMER,Not Available,13.2,10.8
161340,DECATUR COUNTY HOSPITAL,IA,50144,DECATUR,Not Available,12.5,13.2
161341,LUCAS COUNTY HEALTH CENTER,IA,50049,LUCAS,Not Available,10.9,13.6
161342,MONROE COUNTY HOSPITAL,IA,52531,MONROE,Not Available,12,13.1
161343,REGIONAL MEDICAL CENTER,IA,52057,DELAWARE,Not Available,11.8,12.6
161344,WASHINGTON COUNTY HOSPITAL,IA,52353,WASHINGTON,16.3,11.4,15.9
161345,OSCEOLA COMMUNITY HOSPITAL,IA,51249,OSCEOLA,Not Available,13.1,12.1
161346,SIOUX CENTER COMMUNITY HOSPITAL & HEALTH CENTER,IA,51250,SIOUX,Not Available,12.4,10.4
161348,CLARKE COUNTY HOSPITAL,IA,50213,CLARKE,Not Available,Not Available,12
161350,STEWART MEMORIAL COMMUNITY HOSPITAL,IA,51449,CALHOUN,Not Available,11.6,10.9
161351,AVERA HOLY FAMILY HOSPITAL,IA,51334,EMMET,Not Available,11.7,11.9
161352,CLARINDA REGIONAL HEALTH CENTER,IA,51632,PAGE,Not Available,12.5,14.4
161353,KOSSUTH REGIONAL HEALTH CENTER,IA,50511,KOSSUTH,Not Available,13,12.6
161354,HORN MEMORIAL HOSPITAL,IA,51445,IDA,Not Available,11.1,12.5
161355,KNOXVILLE HOSPITAL & CLINICS,IA,50138,MARION,Not Available,12.8,10
161356,HENRY COUNTY HEALTH CENTER,IA,52641,HENRY,Not Available,13.1,14.1
161357,PALO ALTO COUNTY HOSPITAL,IA,50536,PALO ALTO,Not Available,Not Available,12
161358,WAYNE COUNTY HOSPITAL,IA,50060,WAYNE,Not Available,10.4,12.6
161359,BURGESS HEALTH CENTER,IA,51040,MONONA,Not Available,15.3,17.1
161360,ORANGE CITY AREA HEALTH SYSTEM,IA,51041,SIOUX,Not Available,11.3,10.1
161361,VAN DIEST MEDICAL CENTER,IA,50595,HAMILTON,Not Available,11.3,10.7
161362,CHEROKEE REGIONAL MEDICAL CENTER,IA,51012,CHEROKEE,Not Available,16,14.2
161363,MONTGOMERY COUNTY MEMORIAL HOSPITAL,IA,51566,MONTGOMERY,16.3,11.8,13.1
161364,JEFFERSON COUNTY HEALTH CENTER,IA,52556,JEFFERSON,Not Available,11.9,13.4
161365,GREATER REGIONAL MEDICAL CENTER,IA,50801,UNION,15.4,14.1,12.8
161366,SHENANDOAH MEDICAL CENTER,IA,51601,PAGE,Not Available,12,11.1
161367,PELLA REGIONAL HEALTH CENTER,IA,50219,MARION,Not Available,11.4,9.7
161368,FLOYD VALLEY HOSPITAL,IA,51031,PLYMOUTH,Not Available,14.6,11.1
161369,CRAWFORD COUNTY MEMORIAL HOSPITAL,IA,51442,CRAWFORD,Not Available,13.2,13.9
161371,WINNESHIEK MEDICAL CENTER,IA,52101,WINNESHIEK,15.8,10.6,11.4
161372,BOONE COUNTY HOSPITAL,IA,50036,BOONE,16.7,16.4,15.8
161373,RINGGOLD COUNTY HOSPITAL,IA,50854,RINGGOLD,Not Available,13.4,11.3
161374,MYRTUE MEDICAL CENTER,IA,51537,SHELBY,Not Available,12.7,11.7
161375,BUENA VISTA REGIONAL MEDICAL CENTER,IA,50588,BUENA VISTA,Not Available,13,14.8
161376,CASS COUNTY MEMORIAL HOSPITAL,IA,50022,CASS,Not Available,11.5,14.4
161377,MERCY MEDICAL CENTER-CENTERVILLE,IA,52544,APPANOOSE,Not Available,13.5,13.6
161378,MERCY MEDICAL CENTER-DYERSVILLE,IA,52040,DUBUQUE,Not Available,Not Available,Not Available
161379,MAHASKA  HEALTH PARTNERSHIP,IA,52577,MAHASKA,Not Available,11.9,13.3
161380,ELLSWORTH MUNICIPAL HOSPITAL,IA,50126,HARDIN,Not Available,10.9,12.2
161381,SANFORD SHELDON MEDICAL CENTER,IA,51201,OBRIEN,Not Available,11.6,12.6
170001,NEWMAN REGIONAL HEALTH,KS,66801,LYON,17.6,11.1,14
170006,VIA CHRISTI HOSPITAL PITTSBURG INC,KS,66762,CRAWFORD,16.7,9.7,11.9
170009,SAINT JOHN HOSPITAL,KS,66048,LEAVENWORTH,15.1,10,14.2
170010,MERCY HOSPITAL INDEPENDENCE,KS,67301,MONTGOMERY,Not Available,12.7,17
170012,SALINA REGIONAL HEALTH CENTER,KS,67401,SALINE,16.1,13.5,13.7
170013,HAYS MEDICAL CENTER,KS,67601,ELLIS,13.8,8.7,11.9
170014,RANSOM MEMORIAL HOSPITAL,KS,66067,FRANKLIN,Not Available,11.2,10.8
170016,ST FRANCIS HEALTH CENTER INC,KS,66606,SHAWNEE,14.6,11.7,11
170017,SUSAN B ALLEN MEMORIAL HOSPITAL,KS,67042,BUTLER,Not Available,11.2,12.9
170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,KS,67502,RENO,17.2,13.6,15
170023,ST CATHERINE HOSPITAL,KS,67846,FINNEY,14.4,14.7,14.2
170027,PRATT REGIONAL MEDICAL CENTER,KS,67124,PRATT,Not Available,13.2,13.2
170039,SUMNER REGIONAL MEDICAL CENTER,KS,67152,SUMNER,Not Available,12.4,15.6
170040,UNIVERSITY OF KANSAS HOSPITAL,KS,66160,WYANDOTTE,14.1,10.8,10.8
170049,OLATHE MEDICAL CENTER,KS,66061,JOHNSON,18.4,13.2,12.8
170058,MERCY HOSPITAL-FORT SCOTT,KS,66701,BOURBON,Not Available,13.5,15.3
170068,SOUTHWEST MEDICAL CENTER,KS,67901,SEWARD,Not Available,14.7,14.3
17006F,VA EASTERN KANSAS HEALTHCARE SYSTEM,KS,66048,LEAVENWORTH,16.9,10.6,11
170074,GEARY COMMUNITY HOSPITAL,KS,66441,GEARY,Not Available,12.6,16
170075,MERCY HOSPITAL,KS,67107,MCPHERSON,Not Available,12.1,13.1
170086,STORMONT-VAIL HEALTHCARE,KS,66604,SHAWNEE,14.2,10.1,14.5
17008F,WICHITA VA MEDICAL CENTER,KS,67218,SEDGWICK,16,12.4,11.4
170094,COFFEY COUNTY HOSPITAL,KS,66839,COFFEY,Not Available,11.4,10.6
170103,NEWTON MEDICAL CENTER,KS,67114,HARVEY,13.5,13.2,11.1
170104,SHAWNEE MISSION MEDICAL CENTER,KS,66204,JOHNSON,17.4,14.3,11.4
170105,MCPHERSON HOSPITAL INC,KS,67460,MCPHERSON,Not Available,9.5,10.3
170109,MIAMI COUNTY MEDICAL CENTER,KS,66071,MIAMI,Not Available,Not Available,12.4
170110,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,KS,67880,GRANT,Not Available,11.7,14.2
170120,LABETTE HEALTH,KS,67357,LABETTE,Not Available,13.9,10.5
170122,VIA CHRISTI HOSPITALS WICHITA INC,KS,67214,SEDGWICK,15.3,13.1,10.8
170123,WESLEY MEDICAL CENTER,KS,67214,SEDGWICK,14.1,12.3,10.9
170133,CUSHING MEMORIAL HOSPITAL,KS,66048,LEAVENWORTH,Not Available,11.1,10.8
170137,LAWRENCE MEMORIAL HOSPITAL,KS,66044,DOUGLAS,16.3,13.1,13.2
170142,MERCY REGIONAL HEALTH CENTER,KS,66502,RILEY,14.6,13,15.1
170145,COFFEYVILLE REGIONAL MEDICAL CENTER,KS,67337,MONTGOMERY,16.2,10.9,9.3
170146,PROVIDENCE MEDICAL CENTER,KS,66112,WYANDOTTE,16.8,11.2,11.6
170150,SOUTH CENTRAL KS  MED CENTER,KS,67005,COWLEY,Not Available,15,14.8
170166,MORTON COUNTY HOSPITAL,KS,67950,MORTON,Not Available,11.1,13.6
170175,WESTERN PLAINS MEDICAL COMPLEX,KS,67801,FORD,14.4,14.4,18.4
170176,OVERLAND PARK REG MED CTR,KS,66215,JOHNSON,16.4,10,11.2
170182,MENORAH MEDICAL CENTER,KS,66209,JOHNSON,15.7,11.7,10.6
170183,KANSAS SURGERY & RECOVERY CENTER,KS,67226,SEDGWICK,Not Available,Not Available,Not Available
170185,SAINT LUKE'S SOUTH HOSPITAL,KS,66213,JOHNSON,13.4,9.9,10
170186,KANSAS HEART HOSPITAL,KS,67226,SEDGWICK,13.2,11,Not Available
170187,SALINA SURGICAL HOSPITAL,KS,67401,SALINE,Not Available,Not Available,Not Available
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,KS,66211,JOHNSON,Not Available,Not Available,Not Available
170190,MANHATTAN SURGICAL HOSPITAL LLC,KS,66502,RILEY,Not Available,Not Available,Not Available
170191,GREAT BEND REGIONAL HOSPITAL,KS,67530,BARTON,Not Available,Not Available,12.5
170192,GALICHIA HEART HOSPITAL LLC,KS,67220,SEDGWICK,16.8,11.5,9.5
170194,DOCTORS HOSPITAL LLC,KS,66211,JOHNSON,Not Available,Not Available,Not Available
170195,HEARTLAND SURGICAL SPEC HOSPITAL,KS,66211,JOHNSON,Not Available,Not Available,Not Available
170196,KANSAS SPINE HOSPITAL LLC,KS,67226,SEDGWICK,Not Available,Not Available,Not Available
170197,KANSAS MEDICAL CENTER LLC,KS,67002,BUTLER,15.3,11.4,12
170198,SUMMIT SURGICAL LLC,KS,67502,RENO,Not Available,Not Available,Not Available
170199,MINIMALLY INVASIVE SURGERY HOSPITAL,KS,66219,JOHNSON,Not Available,Not Available,Not Available
170200,VIA CHRISTI HOSPITAL WICHITA ST TERESA INC,KS,67235,SEDGWICK,Not Available,11.2,10.9
171300,GRISELL MEMORIAL HOSPITAL DISTRICT #1,KS,67572,NESS,Not Available,Not Available,Not Available
171301,ELLINWOOD DISTRICT HOSPITAL,KS,67526,BARTON,Not Available,Not Available,Not Available
171302,OSWEGO COMMUNITY HOSPITAL,KS,67356,LABETTE,Not Available,Not Available,Not Available
171304,ASHLAND HEALTH CENTER,KS,67831,CLARK,Not Available,Not Available,11.6
171306,WICHITA COUNTY HEALTH CENTER,KS,67861,WICHITA,Not Available,Not Available,Not Available
171310,CHEYENNE COUNTY HOSPITAL,KS,67756,CHEYENNE,Not Available,Not Available,11.9
171312,COMANCHE COUNTY HOSPITAL,KS,67029,COMANCHE,Not Available,Not Available,Not Available
171313,KEARNY COUNTY HOSPITAL,KS,67860,KEARNY,Not Available,12.4,11
171314,JEFFERSON COUNTY MEMORIAL HOSPITAL,KS,66097,JEFFERSON,Not Available,Not Available,Not Available
171315,NEMAHA VALLEY COMMUNITY HOSPITAL,KS,66538,NEMAHA,Not Available,14.1,11.1
171316,ANDERSON COUNTY HOSPITAL,KS,66032,ANDERSON,Not Available,11,10.8
171317,EDWARDS COUNTY HOSPITAL,KS,67547,EDWARDS,Not Available,Not Available,13.1
171318,SEDAN CITY HOSPITAL,KS,67361,CHAUTAUQUA,Not Available,Not Available,12.6
171319,HOLTON COMMUNITY HOSPITAL,KS,66436,JACKSON,Not Available,Not Available,14.6
171321,MEADE DISTRICT HOSPITAL,KS,67864,MEADE,Not Available,10.6,11.3
171322,HAMILTON COUNTY HOSPITAL,KS,67878,HAMILTON,Not Available,Not Available,12.1
171325,GRAHAM COUNTY HOSPITAL,KS,67642,GRAHAM,Not Available,12,9.8
171327,ELLSWORTH COUNTY MEDICAL CENTER,KS,67439,ELLSWORTH,Not Available,11.7,12.5
171328,OTTAWA COUNTY HEALTH CENTER,KS,67467,OTTAWA,Not Available,Not Available,13.9
171331,KIOWA DISTRICT HOSPITAL,KS,67070,BARBER,Not Available,Not Available,10.4
171333,CLARA BARTON HOSPITAL,KS,67544,BARTON,Not Available,11,10.7
171336,NESS COUNTY HOSPITAL DISTRICT #2,KS,67560,NESS,Not Available,Not Available,12.2
171337,WAMEGO CITY HOSPITAL,KS,66547,POTTAWATOMIE,Not Available,12.8,13.6
171338,SABETHA COMMUNITY HOSPITAL,KS,66534,NEMAHA,Not Available,Not Available,13.2
171339,GREENWOOD COUNTY HOSPITAL,KS,67045,GREENWOOD,Not Available,12.7,9.6
171340,HERINGTON MUNICIPAL HOSPITAL,KS,67449,DICKINSON,Not Available,12.3,9.3
171341,HIAWATHA COMMUNITY HOSPITAL,KS,66434,BROWN,Not Available,11.8,12
171343,STANTON COUNTY HOSPITAL,KS,67855,STANTON,Not Available,Not Available,Not Available
171344,WILSON MEDICAL CENTER,KS,66757,WILSON,Not Available,Not Available,15.6
171347,SHERIDAN COUNTY HOSPITAL,KS,67740,SHERIDAN,Not Available,Not Available,12.7
171348,NORTON COUNTY HOSPITAL,KS,67654,NORTON,Not Available,11.7,10.2
171349,CLOUD COUNTY HEALTH CENTER,KS,66901,CLOUD,Not Available,12.1,12.4
171350,RUSSELL REGIONAL HOSPITAL,KS,67665,RUSSELL,Not Available,Not Available,10.8
171351,WASHINGTON COUNTY HOSPITAL,KS,66968,WASHINGTON,Not Available,Not Available,12
171352,DECATUR COUNTY HOSPITAL,KS,67749,DECATUR,Not Available,10.4,10.5
171353,PHILLIPS COUNTY HOSPITAL,KS,67661,PHILLIPS,Not Available,Not Available,11.2
171354,"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS",KS,66521,POTTAWATOMIE,Not Available,10.9,8.9
171355,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,KS,67672,TREGO,Not Available,9.7,12.7
171356,ST LUKE HOSPITAL & LIVING CENTER,KS,66861,MARION,Not Available,Not Available,Not Available
171357,HILLSBORO COMMUNITY HOSPITAL,KS,67063,MARION,Not Available,Not Available,Not Available
171358,LINDSBORG COMMUNITY HOSPITAL,KS,67456,MCPHERSON,Not Available,Not Available,12.6
171359,GREELEY COUNTY HEALTH SERVICES,KS,67879,GREELEY,Not Available,Not Available,11.3
171361,REPUBLIC COUNTY HOSPITAL,KS,66935,REPUBLIC,Not Available,11.3,13.1
171364,OSBORNE COUNTY MEMORIAL HOSPITAL,KS,67473,OSBORNE,Not Available,Not Available,11.8
171366,HARPER HOSPITAL DISTRICT NO 5,KS,67058,HARPER,Not Available,10.6,10.5
171367,GOVE COUNTY MEDICAL CENTER,KS,67752,GOVE,Not Available,12.1,11.1
171369,HODGEMAN COUNTY HEALTH CENTER,KS,67854,HODGEMAN,Not Available,Not Available,10.2
171370,GOODLAND REGIONAL MEDICAL CENTER,KS,67735,SHERMAN,Not Available,Not Available,Not Available
171371,CLAY COUNTY MEDICAL CENTER,KS,67432,CLAY,Not Available,9.8,10.2
171372,SCOTT COUNTY HOSPITAL,KS,67871,SCOTT,Not Available,10.4,12.2
171373,ALLEN COUNTY HOSPITAL,KS,66749,ALLEN,Not Available,11.3,13.5
171374,FREDONIA REGIONAL HOSPITAL,KS,66736,WILSON,Not Available,13,11.8
171375,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,KS,67420,MITCHELL,15.1,11.9,12.3
171376,GIRARD MEDICAL CENTER,KS,66743,CRAWFORD,Not Available,11.6,10.9
171377,SMITH COUNTY MEMORIAL HOSPITAL,KS,66967,SMITH,Not Available,11,11.8
171378,KINGMAN COMMUNITY HOSPITAL,KS,67068,KINGMAN,Not Available,13.3,9
171379,MORRIS COUNTY HOSPITAL,KS,66846,MORRIS,Not Available,12.4,11.4
171380,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,KS,66720,NEOSHO,16.1,13,13.4
171381,MEMORIAL HOSPITAL,KS,67410,DICKINSON,Not Available,11.4,14.7
171382,ATCHISON HOSPITAL,KS,66002,ATCHISON,Not Available,Not Available,Not Available
171383,WILLIAM NEWTON HOSPITAL,KS,67156,COWLEY,Not Available,14.2,13
173300,CHILDREN'S MERCY  SOUTH,KS,66212,JOHNSON,Not Available,Not Available,Not Available
180001,ST ELIZABETH FT THOMAS,KY,41075,CAMPBELL,15.2,10.2,12.2
180002,WHITESBURG ARH HOSPITAL,KY,41858,LETCHER,15.2,13,13
180004,MUHLENBERG COMMUNITY HOSPITAL,KY,42345,MUHLENBERG,Not Available,12.8,15.5
180005,HIGHLANDS REGIONAL MEDICAL CENTER,KY,41653,FLOYD,14.5,10.6,12.4
